iter	Passed	Remaining
738	1104	390
739	1106	388
740	1107	387
741	1108	385
742	1109	383
743	1115	383
744	1116	382
745	1117	380
746	1118	378
747	1119	377
748	1121	375
749	1123	374
750	1134	376
751	1135	374
752	1137	372
753	1138	371
754	1139	369
755	1140	368
756	1141	366
757	1147	366
758	1148	364
759	1149	363
760	1152	361
761	1153	360
762	1154	358
763	1155	356
764	1156	355
765	1160	354
766	1161	352
767	1162	351
768	1164	349
769	1165	348
770	1166	346
771	1167	344
772	1169	343
773	1170	341
774	1172	340
775	1175	339
776	1176	337
777	1178	336
778	1183	335
779	1185	334
780	1189	333
781	1191	332
782	1193	330
783	1194	329
784	1195	327
785	1196	325
786	1198	324
787	1199	322
788	1200	321
789	1201	319
790	1202	317
791	1205	316
792	1209	315
793	1210	314
794	1211	312
795	1217	311
796	1218	310
797	1219	308
798	1226	308
799	1228	307
800	1229	305
801	1230	303
802	1231	302
803	1232	300
804	1233	298
805	1236	297
806	1238	296
807	1239	294
808	1241	293
809	1242	291
810	1243	289
811	1244	288
812	1247	286
813	1248	285
814	1249	283
815	1251	282
816	1253	280
817	1254	279
818	1262	279
819	1264	277
820	1267	276
821	1269	274
822	1270	273
823	1277	272
824	1278	271
825	1279	269
826	1280	267
827	1285	267
828	1287	265
829	1288	263
830	1289	262
831	1290	260
832	1294	259
833	1297	258
834	1298	256
835	1300	255
836	1301	253
837	1302	251
838	1303	250
839	1304	248
840	1306	246
841	1310	245
842	1311	244
843	1314	242
844	1316	241
845	1318	239
846	1319	238
847	1320	236
848	1322	235
849	1324	233
850	1326	232
851	1327	230
852	1333	229
853	1334	228
854	1335	226
855	1336	224
856	1338	223
857	1339	221
858	1340	220
859	1357	221
860	1358	219
861	1361	218
862	1363	216
863	1365	214
864	1366	213
865	1367	211
866	1368	209
867	1370	208
868	1371	206
869	1372	205
870	1373	203
871	1374	201
872	1378	200
873	1381	199
874	1382	197
875	1385	196
876	1386	194
877	1387	192
878	1389	191
879	1390	189
880	1394	188
881	1395	186
882	1398	185
883	1400	183
884	1401	182
885	1403	180
886	1404	178
887	1405	177
888	1408	175
889	1409	174
890	1410	172
891	1412	170
892	1413	169
893	1414	167
894	1415	166
895	1416	164
896	1417	162
897	1418	161
898	1419	159
899	1420	157
900	1422	156
901	1425	154
902	1426	153
903	1428	151
904	1429	150
905	1430	148
906	1431	146
907	1432	145
908	1433	143
909	1434	141
910	1436	140
911	1441	139
912	1442	137
913	1443	135
914	1445	134
915	1447	132
916	1448	131
917	1449	129
918	1451	127
919	1454	126
920	1459	125
921	1461	123
922	1462	122
923	1463	120
924	1465	118
925	1468	117
926	1469	115
927	1472	114
928	1473	112
929	1475	111
